"symbol","date","open","high","low","close","volume"
"CXO","2007-08-03","11.61","13.39","11.6","12.9","6608700"
"CXO","2007-08-06","13.0","13.23","12.07","12.7","796500"
"CXO","2007-08-07","12.64","12.9","12.37","12.6","450100"
"CXO","2007-08-08","12.65","13.0","12.52","12.88","225500"
"CXO","2007-08-09","12.45","13.1","12.27","12.94","131900"
"CXO","2007-08-10","12.72","13.2","12.61","12.81","236000"
"CXO","2007-08-13","12.91","13.21","12.9","13.07","240400"
"CXO","2007-08-14","13.45","13.49","12.81","13.01","45600"
"CXO","2007-08-15","12.99","13.1","12.6","12.88","298900"
"CXO","2007-08-16","12.6","12.73","12.5","12.7","78900"
"CXO","2007-08-17","12.49","13.0","12.49","13.0","297300"
"CXO","2007-08-20","12.89","12.89","12.45","12.75","88600"
"CXO","2007-08-21","12.7","13.0","12.56","12.9","280800"
"CXO","2007-08-22","12.99","12.99","12.5","12.63","158900"
"CXO","2007-08-23","12.51","12.99","12.5","12.9","351400"
"CXO","2007-08-24","12.83","13.0","12.77","12.99","40200"
"CXO","2007-08-27","12.99","13.1","12.6","13.1","104900"
"CXO","2007-08-28","13.16","13.2","12.76","12.76","17800"
"CXO","2007-08-29","12.76","13.2","12.76","12.77","47400"
"CXO","2007-08-30","12.61","12.85","12.54","12.54","38100"
"CXO","2007-08-31","12.69","12.82","12.53","12.69","22600"
"CXO","2007-09-04","12.68","13.8","12.5","13.75","154200"
"CXO","2007-09-05","13.77","15.0","13.1","14.55","451200"
"CXO","2007-09-06","14.53","14.78","13.95","14.5","73600"
"CXO","2007-09-07","14.5","14.7","14.25","14.5","93800"
"CXO","2007-09-10","14.53","15.29","14.5","14.83","358900"
"CXO","2007-09-11","14.84","15.95","14.84","15.2","126600"
"CXO","2007-09-12","15.29","15.5","15.1","15.22","216000"
"CXO","2007-09-13","15.34","15.56","15.22","15.55","459700"
"CXO","2007-09-14","15.55","16.0","15.47","15.89","210200"
"CXO","2007-09-17","15.84","15.9","15.65","15.7","517600"
"CXO","2007-09-18","15.59","15.91","15.25","15.4","391600"
"CXO","2007-09-19","15.3","15.7","15.0","15.7","72100"
"CXO","2007-09-20","15.74","15.91","15.65","15.85","44200"
"CXO","2007-09-21","15.94","16.32","15.75","16.13","489600"
"CXO","2007-09-24","16.23","16.44","16.02","16.17","214700"
"CXO","2007-09-25","16.14","16.14","15.65","15.65","67900"
"CXO","2007-09-26","16.0","16.39","16.0","16.1","301100"
"CXO","2007-09-27","16.17","16.38","15.15","15.42","203200"
"CXO","2007-09-28","15.3","15.5","14.81","14.81","1450100"
"CXO","2007-10-01","14.79","16.21","14.3","15.8","298900"
"CXO","2007-10-02","15.71","16.34","15.71","16.03","130600"
"CXO","2007-10-03","16.0","16.55","16.0","16.42","220100"
"CXO","2007-10-04","16.51","17.24","16.26","16.95","210800"
"CXO","2007-10-05","17.15","17.31","16.71","17.25","154600"
"CXO","2007-10-08","17.24","17.43","16.7","16.7","160600"
"CXO","2007-10-09","16.8","17.18","16.01","17.07","156500"
"CXO","2007-10-10","17.0","17.55","16.51","17.54","366300"
"CXO","2007-10-11","17.55","18.69","17.44","18.6","713200"
"CXO","2007-10-12","18.65","18.83","18.35","18.46","216600"
"CXO","2007-10-15","18.46","18.5","17.77","18.03","100000"
"CXO","2007-10-16","18.2","18.94","18.1","18.82","409000"
"CXO","2007-10-17","19.01","19.37","18.7","18.86","1175200"
"CXO","2007-10-18","19.06","19.74","18.95","19.73","117000"
"CXO","2007-10-19","19.68","20.07","19.31","19.65","242800"
"CXO","2007-10-22","19.58","20.5","19.33","19.56","165300"
"CXO","2007-10-23","19.75","20.0","19.11","19.95","374600"
"CXO","2007-10-24","20.0","20.18","19.31","20.16","103600"
"CXO","2007-10-25","19.51","19.98","19.5","19.74","242200"
"CXO","2007-10-26","20.03","21.75","19.71","21.37","149100"
"CXO","2007-10-29","21.8","22.3","20.87","21.99","196600"
"CXO","2007-10-30","21.65","22.17","20.35","20.46","146900"
"CXO","2007-10-31","20.8","20.8","19.23","19.49","201500"
"CXO","2007-11-01","19.45","20.08","19.0","19.92","196200"
"CXO","2007-11-02","19.98","20.0","19.28","19.94","120300"
"CXO","2007-11-05","19.97","20.22","19.74","19.78","270900"
"CXO","2007-11-06","19.78","19.78","18.65","19.4","91500"
"CXO","2007-11-07","19.25","19.99","18.78","19.01","246700"
"CXO","2007-11-08","19.1","19.1","18.67","18.89","140800"
"CXO","2007-11-09","18.82","18.82","18.3","18.56","155200"
"CXO","2007-11-12","18.43","18.47","17.12","18.12","163100"
"CXO","2007-11-13","18.13","18.4","17.31","18.4","122000"
